"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"PROT.MINOR.INV.EXT.DISC.010.XD.DFRN","Protecting minority investors","Score-Extent of disclosure index (0-10)","","The score for extent of disclosure index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.EXT.OWNR.CONT.XD.0100.DB1519","Protecting minority investors","Extent of ownership and control index (0-7) (DB15-20 methodology)","","The extent of ownership and control index measures the rules governing the structure and change in control of companies. This index has seven components: (i) whether the same individual cannot be appointed CEO and chairperson of the board of directors; (ii) whether the board of directors must include independent nonexecutive board members; (iii) whether shareholder can remove members of the board of directors without cause before the end of their term; (iv) whether the board of directors must have an audit committee; (v) whether a potential acquirer must make a tender offer to all shareholders upon acquiring 50% of Buyer; (vi) whether Buyer must pay declared dividends within a maximum period set by law; (vii) whether a subsidiary cannot acquire shares issued by its parent company. The index is computed based on the methodology in the DB15-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.EXT.OWNR.CONTL.010.XD.DFRN","Protecting minority investors","Score-Extent of ownership and control index (0-7) (DB15-20 methodology)","","The score for extent of ownership and control index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.EXT.SHARE.RTS.XD.010.DB1519","Protecting minority investors","Extent of shareholder rights index (0-6) (DB15-20 methodology)","","The extent of shareholder rights index measures the role of shareholders in key corporate decisions. It has six components: (i) whether the sale of 51% of Buyer’s assets requires shareholder approval; (ii) whether shareholders representing 10% of Buyer’s share capital have the right to call for a meeting of shareholders; (iii) whether Buyer must obtain its share­holders’ approval every time it issues new shares; (iv) whether shareholders automatically receive preemption rights when Buyer issues new shares; (v) whether shareholders elect and dismiss the external auditor; (vi) whether changes to the rights of a class of shares are only possible if the holders of the affected shares approve. The index is computed based on the methodology in the DB15-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.EXT.SHRHLD.RGT.XD.0010.DB1519.DRFN","Protecting minority investors","Score-Extent of shareholder rights index (0-6) (DB15-20 methodology)","","The score for extent of shareholder rights index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.IC.PRIN.EXT.DIR.LGL.010.XD","Protecting minority investors","Extent of director liability index (0-10)","","The extent of director liability index measures when board members can be held liable for harm caused by related-party transactions and what sanctions are available. It has seven components: (i) whether shareholders can sue directly or derivatively for the damage the transaction causes to the company; (ii) whether a shareholder plaintiff can hold Mr. James liable for the damage the Buyer-Seller transaction causes to the company; (iii) whether a shareholder plaintiff can hold other executives and directors (the CEO, members of the board of directors or members of the supervisory board) liable for the damage the transaction causes to the company; (iv) whether Mr. James pays damages for the harm caused to the company upon a successful claim by the shareholder plaintiff; (v) whether Mr. James repays profits made from the transaction upon a successful claim by the shareholder plaintiff; (vi) whether Mr. James is disqualified upon a successful claim by the shareholder plaintiff; and (vii) whether a court can void the trans­action upon a successful claim by a shareholder plaintiff.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.IC.PRIN.MINOR.RK","Protecting minority investors","Rank-Protecting minority investors","","The ranking of economies on the strength of minority shareholder protections is determined by sorting their scores for protecting minority investors.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.STRENG.INV.PROT.XD.010.DB0614","Protecting minority investors","Strength of investor protection index (0-30) (DB06-14 methodology)","","The strength of investor protection index is the sum of the extent of disclosure index, extent of director liability index and ease of shareholder suits index. The index is computed based on the methodology in the DB06-14 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.STRENG.MIN.INV.PROT.XD.010.DB0614","Protecting minority investors","Strength of minority investor protection index (0-50) (DB15-20 methodology)","","The strength of minority investor protection index is the sum of the extent of disclosure index, extent of director liability index, ease of shareholder suits index, extent of shareholder rights index, extent of ownership and control index and extent of corporate transparency index. The index is computed based on the methodology in the DB15-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"RESLV.ISV.COPR.03.XD.DB1519","Resolving insolvency","Commencement of proceedings index (0-3) (DB15-20 methodology)","","The commencement of proceedings index has three components: (i) whether debtors can initiate both liquidation and reorganization proceedings; (ii) whether creditors can initiate both liquidation and reorganization proceedings; and (iii) what standard is used for commence­ment of insolvency proceedings.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Keeping viable businesses operating is among the most important goals of insolvency systems. A good insolvency regime should inhibit the premature liquidation of sustainable businesses. It should also discourage lenders from issuing high-risk loans, and managers and shareholders from taking imprudent loans and making other reckless financial decisions. A firm suffering from poor management choices or a temporary economic downturn can still be turned around. When this happens, all stakeholders benefit. Creditors can recover a larger part of their investment, more employees keep their jobs and the network of suppliers and customers is preserved.","","","","",
"RESLV.ISV.COST.ZS","Resolving insolvency","Cost (% of estate)","","The cost to resolve insolvency is the cost of the proceedings is recorded as a percentage of the value of the debtor’s estate, including court fees and government levies, fees of insolvency administrators, auctioneers, assessors and lawyers, and all other fees and costs.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Keeping viable businesses operating is among the most important goals of insolvency systems. A good insolvency regime should inhibit the premature liquidation of sustainable businesses. It should also discourage lenders from issuing high-risk loans, and managers and shareholders from taking imprudent loans and making other reckless financial decisions. A firm suffering from poor management choices or a temporary economic downturn can still be turned around. When this happens, all stakeholders benefit. Creditors can recover a larger part of their investment, more employees keep their jobs and the network of suppliers and customers is preserved.","","","","",
